"username","tweet_id","text","url","replies","likes","retweets"
"@RahmanElmustian","1721452350437769455","Zion1s bangsa paling memalukan sedunia.","https://twitter.com/RahmanElmustian/status/1721452350437769455","0","8","1"
"@hengkyPudyo","1721478408755191871","Tetep lah boikot... masih ada produk lokal yang laen","https://twitter.com/hengkyPudyo/status/1721478408755191871","0","1","1"
"@Ru79677847","1721654191918362977","Alhamdulillah saya diberi kemampuan ekonomi yang tidak berlebih jadi tidak terbayang sedikitpun untuk makan atau membeli makanan di Mc Donald, kalian-kalian yang di kota-kota besar, kota yang ada mallnya selama membelanjakan hartanya di Mc D dan telah ikut memperkaya Mc D","https://twitter.com/Ru79677847/status/1721654191918362977","0","2","0"
"@Khaerudinpbg","1721490223971049745","Safa dari ada MDonal blm beli walaupun tiap hari lewat saya mending makan makanan lokal saja kaya mendoan dan pecel","https://twitter.com/Khaerudinpbg/status/1721490223971049745","0","1","0"
"@wasitoroesmanto","1721440248658571517","Dukung saja, yg book it berserk tidak tahu kemanusiaan Alias khafirun","https://twitter.com/wasitoroesmanto/status/1721440248658571517","0","1","0"
"@BogelCrew1","1721447000942784596","Jgn terkecoh wan kawan mna mungkin brand besar tdk kadih uang/pajak ke induknya","https://twitter.com/BogelCrew1/status/1721447000942784596","0","1","0"
"@mulya9734","1721386843160367317","Mulai cari selamat😂🤣","https://twitter.com/mulya9734/status/1721386843160367317","0","11","0"
"@lDuIurLanaNG","1721400359531491836","Yg mau boikot biarkan boikot, yg mau makan silahkan makan, yg mau jualan ya monggo jualan, bebass sesuai urusan & hati masing2 😄🙏🏻","https://twitter.com/lDuIurLanaNG/status/1721400359531491836","5","4","0"
"@daoesfir","1721529107396043185","Shame on you McD","https://twitter.com/daoesfir/status/1721529107396043185","0","1","0"
"@Andi_Rubby","1721448640554864953","Bantuan @McDonalds_ID itu palsu..
Karena sudah banyak nya yg boikot ..mulai dah pasang kedok..","https://twitter.com/Andi_Rubby/status/1721448640554864953","0","3","0"
"@IdaMabruroh","1721692134208889010","Alhamdulillah’y dari dulu gak pernah suka makan di McD..lebih suka ke Brand lain..ditambah skrng ky gtu..jd tambah males liat McD","https://twitter.com/IdaMabruroh/status/1721692134208889010","0","1","0"
"@CintyaJuwita","1721585222503063662","Bye McD","https://twitter.com/CintyaJuwita/status/1721585222503063662","0","0","0"
"@anaklokal80","1721571222692266271","PALSU","https://twitter.com/anaklokal80/status/1721571222692266271","0","0","0"
"@ErfanLimba","1721488784595009743","Capeee deeeh, nga laku tawaranmu","https://twitter.com/ErfanLimba/status/1721488784595009743","0","0","0"
"@realmemahar","1721439218587885904","Hmmm","https://twitter.com/realmemahar/status/1721439218587885904","0","0","0"
"@Yuliasfe728","1721521233442078936","Bullshitt.... bilang aj biar laku lg. Manusia skrng sdh makin pinter. Gk prlu membodoh""i","https://twitter.com/Yuliasfe728/status/1721521233442078936","0","0","0"
"@Auguzta_2024","1721429635085541633","To Late mennn.....!!😜","https://twitter.com/Auguzta_2024/status/1721429635085541633","0","2","0"
"@jariberkah","1721438718203138412","Terima kasih bantuannya.
Tapi sorry, tetap gak lagi-lagi beli mekdi. 
Strategi bisnis mah gini amat cari simpati.","https://twitter.com/jariberkah/status/1721438718203138412","0","1","0"
"@Bambang7570","1721514350270357701","Ngaku tdk ada hubungan dgn mc d israel, emang gk hubungannya tp cuannya  dibawa sm mc d pusat yg berkantor pusat di USA lalu dikirim ke negara yahudi...masa gk paham sih","https://twitter.com/Bambang7570/status/1721514350270357701","1","0","0"
"@wahidnewscom","1721409647020798030","tetap boycot lah","https://twitter.com/wahidnewscom/status/1721409647020798030","0","1","0"
"@JnKahfi","1721445417794347240","Pokonya boikot produk produk dari Amerika seperti di negara negara LAIN,,, masa Indonesia kalah sama negara Barat","https://twitter.com/JnKahfi/status/1721445417794347240","0","2","0"
"@RoseIndah14","1721402114109587678","Buktikan langsung kirim dgn nyata ada saksi kalo sampai ke Gaza dimakan sama warga Gaza dan pejuang Mujahidin..baru dah tuh berhenti boikot","https://twitter.com/RoseIndah14/status/1721402114109587678","0","5","0"
"@misterpaijoe","1721492511104127083","ah gak peduli juga mau kirim sebarapapun yg jelas brand royalti masuk ke sana.. dah pokoknya gak mcD, KFC, dll..","https://twitter.com/misterpaijoe/status/1721492511104127083","0","1","0"
"@iRudiGunz","1721410086655193207","Tapi ada yg bilang boikot beginian RECEH 😓😢🤭... Pinginnya boikot yg gedean.... PESAWAT 🤣😅😂.... Bukannya hal kecil itu bisa jadi besar ya 🤔😁","https://twitter.com/iRudiGunz/status/1721410086655193207","0","7","0"
"@HARGOT128323","1721479972421071336","Yg ini ??","https://twitter.com/HARGOT128323/status/1721479972421071336","0","2","0"
"@zattabilardz","1721679037045887255","Kok tercium bau kurang sedap ya..... 🤔

Kita makan ayam goreng warung nasi sunda/warteg/rumah makan Padang yuk...","https://twitter.com/zattabilardz/status/1721679037045887255","0","1","0"
"@ongz87","1721405099002757560","Brand image nya jd keburu rusak gegara statement sebelumnya.

Kirim bantuan is a good move, tapi tetep gak akan bisa memperbaiki. Boikot bakal terus lanjut","https://twitter.com/ongz87/status/1721405099002757560","0","8","1"
"@Gigitterusss","1721427250862850515","Awalnya dikira nggak ngaruh, ternyata makin kesini makin berasa jg dan akhirnya timbulnya pernyataan ini, soo yg mau lanjut boycott lanjutin atau yg nggak silahkan krn semua didunia ini ada pertanggungjawaban di akhirat nanti #WeStandWithPalestine","https://twitter.com/Gigitterusss/status/1721427250862850515","0","2","0"
"@MSinaruddin","1721537663319302422","Tetap boikoootttty!!!!! Brandingnya punya yahudi, gerainya punya cina, sama2 penjajah dan penjahat!!!!","https://twitter.com/MSinaruddin/status/1721537663319302422","0","0","0"
"@SuwarsisOke","1721693286153523269","Mending kembali ke jajanan tradisional 😁","https://twitter.com/SuwarsisOke/status/1721693286153523269","0","0","0"
"@Pooha_hijab","1721570740875788380","Tetap BOIKOT","https://twitter.com/Pooha_hijab/status/1721570740875788380","0","0","0"
"@BucaHopper","1721483029426917392","Mahal harga nya di mekdi.","https://twitter.com/BucaHopper/status/1721483029426917392","0","0","0"
"@AlIkhsan02","1721633887418503652","iPhone juga","https://twitter.com/AlIkhsan02/status/1721633887418503652","0","0","0"
"@OLaksito","1721518638866334189","Pecat Marketing Manager McD, TELAT NIAN AMBIL KEPUTUSAN","https://twitter.com/OLaksito/status/1721518638866334189","0","0","0"
"@tanmago243","1721420455947727178","Lol","https://twitter.com/tanmago243/status/1721420455947727178","0","0","0"
"@aanlampung","1721445096762347826","Jangan tergoda...","https://twitter.com/aanlampung/status/1721445096762347826","0","0","0"
"@windyputradewa","1721689672697651330","Jangan percaya. Strategi marketing itu…","https://twitter.com/windyputradewa/status/1721689672697651330","0","0","0"
"@rikamulyasari16","1721431934944047324","Alhamdulillah hal yg dianggap remeh..hanya tidak membeli produk2 mrk ternyata berpengaruh..#BoycottMcDonalds","https://twitter.com/rikamulyasari16/status/1721431934944047324","0","2","0"
"@luchitasoe","1721472339001655556","Dipikir org2 langsung percaya. Buktikan dulu.","https://twitter.com/luchitasoe/status/1721472339001655556","0","0","0"
"@t_dewantara","1721543537584693259","Coba buat pernyataan kutuk  @McDonalds_ID","https://twitter.com/t_dewantara/status/1721543537584693259","1","0","0"
"@zainal_monster","1721525169615769732","Bosen juga makan di @McDonalds","https://twitter.com/zainal_monster/status/1721525169615769732","0","0","0"
"@gilang_ir29","1721757285486358924","JANGAN BELI McDonald's. 🐖","https://twitter.com/gilang_ir29/status/1721757285486358924","0","0","0"
"@lennilenni549","1721659946276889042","Boikot boleh mau tetap makan jg boleh","https://twitter.com/lennilenni549/status/1721659946276889042","0","0","0"
"@BudiRahmatillah","1721548051943416112","terus boycott","https://twitter.com/BudiRahmatillah/status/1721548051943416112","0","0","0"
"@nurulhudha5722","1721391936622428547","Brani g kibarkan bendera Palestina di gerai2 resmi mcD ..sbgai keperpihakn sm Palestina kl g brani berarti ...??","https://twitter.com/nurulhudha5722/status/1721391936622428547","2","11","3"
"@SantGado","1721549590430908610","Yg benang ni","https://twitter.com/SantGado/status/1721549590430908610","0","0","0"
"@rachzain","1721416731502231918","Apa iya, gak percaya","https://twitter.com/rachzain/status/1721416731502231918","0","0","0"
"@MsRaharusun","1721514871877964151","Burger Kang Asep dan Mie Ayam Mas Yono lebih enak dan gurih drpd McD.

#CintailahMakananIndonesia","https://twitter.com/MsRaharusun/status/1721514871877964151","0","0","0"
"@greyhats13","1721570911055393230","...sorry gue lebih suka Recheese daripada McD, dan Hokben jauh lebih enak","https://twitter.com/greyhats13/status/1721570911055393230","0","0","0"
"@lnwlf08","1721400333317112204","Bukan diduga, tapi memang perusahaan pusatnya kayak gitu... cek di inminds.co.uk","https://twitter.com/lnwlf08/status/1721400333317112204","0","0","0"
"@adi_fuaddi","1721502813925335550","sidah terlambat,, mending out dari negeri ini..","https://twitter.com/adi_fuaddi/status/1721502813925335550","0","1","0"
"@tarobulat","1721421231290015840","katanya boikot2 ga ngaruh","https://twitter.com/tarobulat/status/1721421231290015840","0","0","0"
"@HendraHanifah","1721511056395407680","Lanjutkan boikot nya","https://twitter.com/HendraHanifah/status/1721511056395407680","0","0","0"
"@hendrassunarya","1721397597288689724","Ini kalo sampe tutup karyawan PT Rekso Nasional Food nya gimana?","https://twitter.com/hendrassunarya/status/1721397597288689724","9","1","0"
"@maqbulhalim","1721454942454767845","Harap McD & Starbucks kutuk Israel scr resmi dan terbuka. Percuma prihatin.","https://twitter.com/maqbulhalim/status/1721454942454767845","0","0","0"
"@hdynugraha","1721390707540431015","Udah basah makin basah 😂","https://twitter.com/hdynugraha/status/1721390707540431015","0","0","0"
"@arankaru","1721411648823632033","di sisi lain tetap bayar ke pusat","https://twitter.com/arankaru/status/1721411648823632033","1","0","0"
"@ivoelbachrie","1721445957009859053","Alhamdulillah anak saya udah ga mau lagi ke @McDonalds_ID ..sebelumnya pasti mampir karena kejar maenin untuk paket happy meal","https://twitter.com/ivoelbachrie/status/1721445957009859053","0","0","0"
"@lusy299","1721571374723203358","Enakan ini,dari pada @McDonalds_ID","https://twitter.com/lusy299/status/1721571374723203358","0","0","0"
"@axlent","1721668822460256500","Padahal cuman gara2 mcd cabang israel yg ngasih makanan ke prajurit israel, mcd cabang indonesia kena getahnya. Mcd indonesia yg sering ngadain kegiatan sosial disini pada dianggap sama ama yg cabang israel sana. Tipikal warga sini yg ga bisa bedain case by case","https://twitter.com/axlent/status/1721668822460256500","0","0","0"
"@ithinksayank","1721477391506366689","anda boikot anda yg rugi😆😅😂 ekonomi negara akan hancur😁","https://twitter.com/ithinksayank/status/1721477391506366689","0","0","0"
"@IwidSoeryo","1721410612411171148","Jika @McDonalds_ID hanya akan memberikan bantuan kemanusiaan kenapa gak dr kemarin2 ... 
Saya justeru ingin McD Indonesia membuat statement di media Sosial bahwa McD Indonesia TIDAK MENGAKUI ISRAEL SEBAGAI NEGARA dan @McDonalds_ID      MENDUKUNG KEMERDEKAAN PALESTINA","https://twitter.com/IwidSoeryo/status/1721410612411171148","0","0","0"
"@hwika6","1721395283706396902","Napa boikot segala ? Bukannya teroris makin banyak mati makin bagus ? Harus syukur kalo teroris mati !","https://twitter.com/hwika6/status/1721395283706396902","1","0","0"
"@Wanto_65","1721400581376643293","Simak baik2","https://twitter.com/Wanto_65/status/1721400581376643293","0","0","0"
"@tam2keren","1721397576799490208","Harusnya McD Indonesia bikin statement klo mereka ""mengutuk upaya genocida yg di lakukan Israel terhadap Palestina"".
Kayaknya ini akan bikin jualan mereka lebih laris disini.🫰","https://twitter.com/tam2keren/status/1721397576799490208","1","1","0"
"@JohnnyTheBoyyyy","1721478992468099471","Boikot itu hak ente, Bib. Tapi kalo ente menebar ancaman ketakutan itu sdh bukan hak, itu pidana, Bib...","https://twitter.com/JohnnyTheBoyyyy/status/1721478992468099471","0","0","0"
"@YudhoBoy","1721394645694111915","Allahu Akbar, Freedom Palestine & Safety People Palestine!!!🌙🕋⭐️","https://twitter.com/YudhoBoy/status/1721394645694111915","0","0","0"
"@lapetop1","1721388068085588364","#GenocideinGaza","https://twitter.com/lapetop1/status/1721388068085588364","0","0","0"
"@KromoNews","1721396769970655702","Kenapa gerainya pada pusing sih, padahal ownernya santai aja...","https://twitter.com/KromoNews/status/1721396769970655702","0","1","0"
"@AgungConqueror","1721410860051235169","KIRIM BURGER GAK ENAK HAHAHAHA!!","https://twitter.com/AgungConqueror/status/1721410860051235169","0","0","0"
"@lapetop1","1721387730209329616","#GenocideinGaza","https://twitter.com/lapetop1/status/1721387730209329616","0","0","0"
"@esp32indonesia","1721500420005400593","jaman lagi susah ditempat ane.. bahkan sebelum perang pun mc donald dh sepi,, dh mau bangkrut..","https://twitter.com/esp32indonesia/status/1721500420005400593","0","0","0"
"@lapetop1","1721387822475604089","#GenocideinGaza","https://twitter.com/lapetop1/status/1721387822475604089","0","1","2"
"@BANGKEHLOHnyet","1721398826509176884","Lo bisnis di wilayah islam frontal, 
Ganti nama jdi McPlestine's aman idub Lo...","https://twitter.com/BANGKEHLOHnyet/status/1721398826509176884","1","0","0"
"@moshpito","1721408490336559360","go to hell with ur aid","https://twitter.com/moshpito/status/1721408490336559360","0","0","0"
"@lapetop1","1721387961525125420","#GenocideinGaza","https://twitter.com/lapetop1/status/1721387961525125420","0","0","0"
"@lapetop1","1721388208032727456","#GenocideinGaza","https://twitter.com/lapetop1/status/1721388208032727456","0","0","0"
"@Nasyauqiee","1721678421716242869","Kalau aksi boikot gini pemerintah Indonesia turun tangan ga ya? Termasuk menteri perdagangan, karena pasti dampaknya ke PHK karyawan dibeberapa perusahaan yg diboikot, semoga konflik di Palestine segera berakhir dan dunia dalam kondisi baik2 saja","https://twitter.com/Nasyauqiee/status/1721678421716242869","0","0","0"
